numTypes 3
population 1200
min distances 32.000000, radiuses 141.000000, forces -0.999916
min distances 31.000000, radiuses 190.000000, forces 0.935100
min distances 46.000000, radiuses 161.000000, forces 0.308097
min distances 36.000000, radiuses 230.000000, forces 0.936676
min distances 42.000000, radiuses 135.000000, forces -0.904719
min distances 39.000000, radiuses 233.000000, forces -0.995787
min distances 47.000000, radiuses 118.000000, forces 0.711648
min distances 36.000000, radiuses 74.000000, forces -0.993185
min distances 41.000000, radiuses 184.000000, forces 0.360808
Particle 0, at 694.000000, 806.000000
Particle 1, at 108.000000, 604.000000
Particle 2, at 235.000000, 886.000000
Particle 3, at 681.000000, 930.000000
Particle 4, at 503.000000, 972.000000
Particle 5, at 363.000000, 888.000000
Particle 6, at 768.000000, 914.000000
Particle 7, at 180.000000, 308.000000
Particle 8, at 576.000000, 25.000000
Particle 9, at 595.000000, 26.000000
Particle 10, at 372.000000, 43.000000
Particle 11, at 18.000000, 23.000000
Particle 12, at 438.000000, 763.000000
Particle 13, at 379.000000, 211.000000
Particle 14, at 39.000000, 691.000000
Particle 15, at 214.000000, 956.000000
Particle 16, at 584.000000, 289.000000
Particle 17, at 486.000000, 544.000000
Particle 18, at 773.000000, 234.000000
Particle 19, at 698.000000, 404.000000
Particle 20, at 350.000000, 141.000000
Particle 21, at 296.000000, 105.000000
Particle 22, at 153.000000, 621.000000
Particle 23, at 648.000000, 881.000000
Particle 24, at 395.000000, 459.000000
Particle 25, at 297.000000, 788.000000
Particle 26, at 212.000000, 552.000000
Particle 27, at 90.000000, 475.000000
Particle 28, at 576.000000, 898.000000
Particle 29, at 59.000000, 47.000000
Particle 30, at 261.000000, 334.000000
Particle 31, at 638.000000, 862.000000
Particle 32, at 798.000000, 170.000000
Particle 33, at 499.000000, 582.000000
Particle 34, at 309.000000, 964.000000
Particle 35, at 626.000000, 154.000000
Particle 36, at 560.000000, 461.000000
Particle 37, at 445.000000, 322.000000
Particle 38, at 275.000000, 647.000000
Particle 39, at 306.000000, 611.000000
Particle 40, at 654.000000, 481.000000
Particle 41, at 374.000000, 589.000000
Particle 42, at 209.000000, 214.000000
Particle 43, at 655.000000, 753.000000
Particle 44, at 37.000000, 697.000000
Particle 45, at 422.000000, 150.000000
Particle 46, at 630.000000, 221.000000
Particle 47, at 784.000000, 433.000000
Particle 48, at 660.000000, 117.000000
Particle 49, at 387.000000, 8.000000
Particle 50, at 80.000000, 738.000000
Particle 51, at 649.000000, 55.000000
Particle 52, at 93.000000, 533.000000
Particle 53, at 90.000000, 484.000000
Particle 54, at 38.000000, 638.000000
Particle 55, at 139.000000, 576.000000
Particle 56, at 311.000000, 41.000000
Particle 57, at 604.000000, 948.000000
Particle 58, at 660.000000, 240.000000
Particle 59, at 607.000000, 980.000000
Particle 60, at 517.000000, 47.000000
Particle 61, at 742.000000, 357.000000
Particle 62, at 2.000000, 69.000000
Particle 63, at 257.000000, 140.000000
Particle 64, at 219.000000, 948.000000
Particle 65, at 729.000000, 681.000000
Particle 66, at 793.000000, 732.000000
Particle 67, at 120.000000, 278.000000
Particle 68, at 55.000000, 70.000000
Particle 69, at 229.000000, 489.000000
Particle 70, at 586.000000, 401.000000
Particle 71, at 555.000000, 357.000000
Particle 72, at 369.000000, 151.000000
Particle 73, at 756.000000, 157.000000
Particle 74, at 744.000000, 569.000000
Particle 75, at 754.000000, 387.000000
Particle 76, at 576.000000, 110.000000
Particle 77, at 547.000000, 68.000000
Particle 78, at 388.000000, 204.000000
Particle 79, at 581.000000, 202.000000
Particle 80, at 258.000000, 171.000000
Particle 81, at 315.000000, 960.000000
Particle 82, at 21.000000, 521.000000
Particle 83, at 541.000000, 306.000000
Particle 84, at 657.000000, 894.000000
Particle 85, at 668.000000, 276.000000
Particle 86, at 44.000000, 294.000000
Particle 87, at 33.000000, 623.000000
Particle 88, at 371.000000, 748.000000
Particle 89, at 432.000000, 716.000000
Particle 90, at 519.000000, 725.000000
Particle 91, at 184.000000, 147.000000
Particle 92, at 441.000000, 591.000000
Particle 93, at 535.000000, 97.000000
Particle 94, at 250.000000, 592.000000
Particle 95, at 693.000000, 59.000000
Particle 96, at 623.000000, 752.000000
Particle 97, at 509.000000, 513.000000
Particle 98, at 566.000000, 789.000000
Particle 99, at 755.000000, 807.000000
Particle 100, at 315.000000, 657.000000
Particle 101, at 203.000000, 382.000000
Particle 102, at 99.000000, 579.000000
Particle 103, at 767.000000, 283.000000
Particle 104, at 176.000000, 357.000000
Particle 105, at 770.000000, 858.000000
Particle 106, at 446.000000, 543.000000
Particle 107, at 288.000000, 869.000000
Particle 108, at 58.000000, 719.000000
Particle 109, at 31.000000, 420.000000
Particle 110, at 425.000000, 522.000000
Particle 111, at 721.000000, 864.000000
Particle 112, at 342.000000, 489.000000
Particle 113, at 538.000000, 530.000000
Particle 114, at 187.000000, 372.000000
Particle 115, at 532.000000, 567.000000
Particle 116, at 567.000000, 96.000000
Particle 117, at 776.000000, 902.000000
Particle 118, at 119.000000, 906.000000
Particle 119, at 623.000000, 246.000000
Particle 120, at 592.000000, 779.000000
Particle 121, at 658.000000, 810.000000
Particle 122, at 173.000000, 457.000000
Particle 123, at 510.000000, 249.000000
